3, No+AC0-lagromory, Lagromory 20+AC0-3, Lagr20+AC0-3 plus cplex cuts
bin_rand_perc050_015_005_010_002_10_02.lp, 47.469354, 3600.001726, 1030.403343
bin_rand_perc050_015_005_010_002_10_03.lp, 141.196199, 186.172476, 103.47764
bin_rand_perc050_015_005_010_002_10_04.lp, 223.066709, 12.626459, 31.931893
bin_rand_perc050_015_005_010_002_10_05.lp, 265.928652, 127.073092, 35.386548
bin_rand_perc050_015_005_010_002_10_06.lp, 5.040582, 12.14425, 7.41968
bin_rand_perc050_015_005_010_002_10_07.lp, 1.101402, 3.382523, 4.748152
bin_rand_perc050_015_005_010_002_10_08.lp, 57.467224, 3600.001296, 83.168572
bin_rand_perc050_015_005_010_002_10_09.lp, 4.667014, 6.873257, 3.921959
bin_rand_perc050_015_005_010_004_10_00.lp, 90.552854, 87.12942, 121.720233
bin_rand_perc050_015_005_010_004_10_01.lp, 3600.123312, 3600.029723, 255.687501
bin_rand_perc050_015_005_010_004_10_02.lp, 3600.031134, 3600.010073, 3600.019204
bin_rand_perc050_015_005_010_004_10_03.lp, 1530.68638, 1275.619686, 357.374772
bin_rand_perc050_015_005_010_004_10_04.lp, 4.356447, 15.896251, 7.160241
bin_rand_perc050_015_005_010_004_10_05.lp, 40.640136, 7.949904, 21.616594
bin_rand_perc050_015_005_010_004_10_06.lp, 688.639468, 2963.53222, 462.767946
bin_rand_perc050_015_005_010_004_10_07.lp, 30.713879, 102.953186, 39.626932
bin_rand_perc050_015_005_010_004_10_08.lp, 352.825293, 412.513283, 176.974023
bin_rand_perc050_015_005_010_004_10_09.lp, 3.977055, 20.985628, 30.749082
bin_rand_perc050_015_008_010_001_10_00.lp, 1.282805, 6.682545, 4.223644
bin_rand_perc050_015_008_010_001_10_01.lp, 67.129151, 51.125955, 3600.001874
bin_rand_perc050_015_008_010_001_10_02.lp, 12.650737, 89.047593, 101.56689
bin_rand_perc050_015_008_010_001_10_03.lp, 8.434043, 3600.004247, 12.030388
bin_rand_perc050_015_008_010_001_10_04.lp, 5.90047, 30.714838, 16.792605
bin_rand_perc050_015_008_010_001_10_05.lp, 2.028609, 5.776269, 4.203676
bin_rand_perc050_015_008_010_001_10_06.lp, 10.588827, 19.580299, 9.171448
bin_rand_perc050_015_008_010_001_10_07.lp, 5.186339, 44.584059, 6.817622
bin_rand_perc050_015_008_010_001_10_08.lp, 18.709266, 81.397178, 394.075198
bin_rand_perc050_015_008_010_001_10_09.lp, 36.721312, 3600.00398, 3600.002156
bin_rand_perc050_015_008_010_002_10_00.lp, 11.227671, 3600.002828, 19.090634
bin_rand_perc050_015_008_010_002_10_01.lp, 16.249263, 3600.002845, 115.979576
bin_rand_perc050_015_008_010_002_10_02.lp, 17.797728, 1922.869663, 436.784721
bin_rand_perc050_015_008_010_002_10_03.lp, 1.797569, 3600.001946, 8.16439
bin_rand_perc050_015_008_010_002_10_04.lp, 1.288141, 22.516433, 5.582116
bin_rand_perc050_015_008_010_002_10_05.lp, 18.737631, 3600.00224, 4.108081
bin_rand_perc050_015_008_010_002_10_06.lp, 22.575079, 176.286826, 46.465664
bin_rand_perc050_015_008_010_002_10_07.lp, 3.64887, 3600.003537, 15.810104
bin_rand_perc050_015_008_010_002_10_08.lp, 6.861784, 3600.003196, 21.44222
bin_rand_perc050_015_008_010_002_10_09.lp, 2.492828, 624.69169, 5.495936
bin_rand_perc050_015_008_010_004_10_00.lp, 2.947215, 3600.001518, 22.443177
bin_rand_perc050_015_008_010_004_10_01.lp, 270.177352, 184.442517, 3600.001942
bin_rand_perc050_015_008_010_004_10_02.lp, 90.619994, 29.036402, 353.608662
bin_rand_perc050_015_008_010_004_10_03.lp, 4.075796, 3600.004509, 17.678503
bin_rand_perc050_015_008_010_004_10_04.lp, 100.696659, 578.405639, 63.434361
bin_rand_perc050_015_008_010_004_10_05.lp, 160.357012, 525.079859, 3600.001866
bin_rand_perc050_015_008_010_004_10_06.lp, 1571.571483, 215.424345, 175.606812
bin_rand_perc050_015_008_010_004_10_07.lp, 3600.0026, 3600.002552, 3600.001941
bin_rand_perc050_015_008_010_004_10_08.lp, 3236.577716, 3600.003749, 3600.000849
bin_rand_perc050_015_008_010_004_10_09.lp, 9.809042, 505.757842, 14.3629
cont_rand_perc020_015_010_010_001_10_00.lp, 1.327743, 0.503426, 5.989331
cont_rand_perc020_015_010_010_001_10_01.lp, 0.015901, 0.443531, 1.278356
cont_rand_perc020_015_010_010_001_10_02.lp, 0.020201, 0.124549, 0.158598
cont_rand_perc020_015_010_010_001_10_03.lp, 0.01742, 0.161889, 0.277821
cont_rand_perc020_015_010_010_001_10_04.lp, 0.029918, 0.208601, 0.254583
cont_rand_perc020_015_010_010_001_10_05.lp, 11.746705, 3600.032857, 37.682467
cont_rand_perc020_015_010_010_001_10_06.lp, 0.088984, 0.317571, 2.169624
cont_rand_perc020_015_010_010_001_10_07.lp, 0.012132, 0.222539, 0.252994
cont_rand_perc020_015_010_010_001_10_08.lp, 0.03596, 0.273455, 1.910786
cont_rand_perc020_015_010_010_001_10_09.lp, 0.011752, 0.181758, 0.213136
cont_rand_perc020_015_010_010_002_10_00.lp, 3600.016048, 3600.006323, 351.981595
cont_rand_perc020_015_010_010_002_10_01.lp, 3600.05689, 3600.053232, 3600.050186
cont_rand_perc020_015_010_010_002_10_02.lp, 3600.017336, 0.375341, 0.873633
cont_rand_perc020_015_010_010_002_10_03.lp, 0.499277, 0.610971, 3.757357
cont_rand_perc020_015_010_010_002_10_04.lp, 3600.018156, 0.853762, 3.472964
cont_rand_perc020_015_010_010_002_10_05.lp, 1189.732641, 2061.47731, 1171.171908
cont_rand_perc020_015_010_010_002_10_06.lp, 0.116518, 0.248848, 0.768584
cont_rand_perc020_015_010_010_002_10_07.lp, 0.017268, 0.275952, 0.338529
cont_rand_perc020_015_010_010_002_10_08.lp, 0.521, 3.197183, 3.64451
cont_rand_perc020_015_010_010_002_10_09.lp, 0.279011, 0.404156, 1.329048
cont_rand_perc020_015_010_010_004_10_00.lp, 0.024268, 0.13781, 0.199523
cont_rand_perc020_015_010_010_004_10_01.lp, 0.243536, 0.647034, 0.79683
cont_rand_perc020_015_010_010_004_10_02.lp, 0.010882, 0.085785, 0.067967
cont_rand_perc020_015_010_010_004_10_03.lp, 458.682795, 10.491516, 11.565138
cont_rand_perc020_015_010_010_004_10_04.lp, 3600.04258, 3600.042112, 3600.094628
cont_rand_perc020_015_010_010_004_10_05.lp, 5.305426, 1.915501, 9.539226
cont_rand_perc020_015_010_010_004_10_06.lp, 3.101442, 1.306468, 10.757923
cont_rand_perc020_015_010_010_004_10_07.lp, 0.048954, 0.230798, 0.337665
cont_rand_perc020_015_010_010_004_10_08.lp, 3600.016108, 3600.048774, 3600.023008
cont_rand_perc020_015_010_010_004_10_09.lp, 3600.010404, 3600.015959, 3600.031178
cont_rand_perc030_015_005_010_001_10_00.lp, 0.119652, 0.225271, 0.285878
cont_rand_perc030_015_005_010_001_10_01.lp, 0.209898, 0.419302, 0.890892
cont_rand_perc030_015_005_010_001_10_02.lp, 5.145342, 45.949496, 20.808167
cont_rand_perc030_015_005_010_001_10_03.lp, 3600.045593, 3600.023235, 3600.027868
cont_rand_perc030_015_005_010_001_10_04.lp, 0.019074, 0.165895, 0.173975
cont_rand_perc030_015_005_010_001_10_05.lp, 0.131341, 0.27331, 0.428806
cont_rand_perc030_015_005_010_001_10_06.lp, 0.031351, 0.242482, 0.280029
